Rk,player,team,salary2015,salary2016,salary2017,salary2018,salary2019,salary2020,Signed Using,Guaranteed
370,J.J. Hickson,DEN,5613500,,,,,,MLE,5613500
371,Martell Webster,WAS,5613500,5845250,,,,,MLE,5613500
372,Jamal Crawford,LAC,5675000,,,,,,MLE,1500000
373,Courtney Lee,MEM,5675000,,,,,,Bird Rights,5675000
374,Bradley Beal,WAS,5694674,,,,,,1st Round Pick,5694674
375,Karl-Anthony Towns,MIN,5703600,5960160,6216840,7839435,,,1st round pick,11663760
376,Kyle Korver,ATL,5746479,5239437,,,,,Bird Rights,10985916
377,Andrew Wiggins,MIN,5758680,6006600,7574322,,,,1st Round Pick,5758680
378,Anthony Bennett,MIN,5803560,7318289,,,,,1st Round Pick,5803560
379,Jae Crowder,BOS,6000000,6500000,7000000,7500000,8000000,,Bird Rights,35000000
380,Gerald Henderson,POR,6000000,,,,,,Bird Rights,6000000
381,Patrick Patterson,TOR,6268675,6050000,,,,,Bird Rights,12318675
382,Jodie Meeks,DET,6270000,6540000,,,,,Cap Space,12810000
383,Jarrett Jack,BRK,6300000,6300000,,,,,Cap Space,6800000
384,Michael Kidd-Gilchrist,CHO,6331404,,,,,,1st Round Pick,6331404
385,Marco Belinelli,SAC,6333333,6333333,6333333,,,,Cap Space,18999999
386,Jason Thompson,GSW,6431250,6825000,,,,,Bird Rights,9081250
387,Aron Baynes,DET,6500000,6500000,6500000,,,,Cap Space,13000000
388,Patrick Beverley,HOU,6500000,6000000,5500000,5000000,,,Bird Rights,18000000
389,Rodney Stuckey,IND,6500000,7000000,7500000,,,,Cap Space,13500000
390,Carl Landry,PHI,6500000,6500000,,,,,Cap Space,13000000
391,Greivis Vasquez,MIL,6600000,,,,,,Bird Rights,6600000
392,J.J. Redick,LAC,6867000,7150500,,,,,Bird Rights,14017500
393,Isaiah Thomas,BOS,6912869,6587132,6261395,,,,,19761396
394,Marvin Williams,CHO,7000000,,,,,,,7000000
395,Lou Williams,LAL,7000000,7000000,7000000,,,,Cap Space,21000000
396,Ed Davis,POR,7000000,7000000,7000000,,,,Cap Space,21000000
397,Boris Diaw,SAS,7000000,6500000,7000000,,,,Bird Rights,10000000
398,Cory Joseph,TOR,7000000,7330000,7660000,8000000,,,Cap Space,21990000
399,Anthony Davis,NOP,7070730,21000000,22500000,24000000,25000000,,1st Round Pick,126570730
400,Kevin Martin,MIN,7085000,7377500,,,,,Bird Rights,7085000
401,Jose Calderon,NYK,7402812,7708427,,,,,Cap Space,15111239
402,Pau Gasol,CHI,7448760,7769520,,,,,Cap Space,7448760
403,Al-Farouq Aminu,POR,7500000,7500000,7500000,7500000,,,Cap Space,30000000
404,Kosta Koufos,SAC,7500000,8000000,8500000,9000000,,,Cap Space,24000000
405,Avery Bradley,BOS,7730337,8269663,8808989,,,,Bird Rights,24808989
406,Channing Frye,ORL,7807579,7456238,,,,,Cap Space,15263817
407,Ersan Ilyasova,DET,7900000,8400000,,,,,Bird Rights,8300000
408,Jeff Teague,ATL,8000000,8000000,,,,,Bird Rights,16000000
409,George Hill,IND,8000000,8000000,,,,,Bird Rights,16000000
410,O.J. Mayo,MIL,8000000,,,,,,Cap Space,8000000
411,Arron Afflalo,NYK,8000000,8000000,,,,,Cap Space,8000000
412,Markieff Morris,PHO,8000000,8000000,8000000,8000000,,,Bird Rights,32000000
413,Trevor Ariza,HOU,8193030,7806971,7420912,,,,Bird Rights,23420913
414,Corey Brewer,HOU,8200000,7600000,7600000,,,,Cap Space,23400000
415,Dirk Nowitzki,DAL,8333334,8692184,,,,,Cap Space,8333334
416,Brandon Jennings,DET,8344497,,,,,,Bird Rights,8344497
417,Tiago Splitter,ATL,8500000,8250000,,,,,Bird Rights,16750000
418,Taj Gibson,CHI,8500000,8950000,,,,,Bird Rights,17450000
419,Kevin Garnett,MIN,8500000,8000000,,,,,Bird Rights,16500000
420,Ryan Anderson,NOP,8500000,,,,,,Bird Rights,8500000
421,Iman Shumpert,CLE,9000000,9700000,10300000,11000000,,,Bird Rights,40000000
422,Lance Stephenson,LAC,9000000,9400000,,,,,Cap Space,9000000
423,Jeff Green,MEM,9200000,,,,,,Bird Rights,9200000
